IFT222 OBJECTIVE (MCQ) BANK — transcribed from ift tests/ (test 1 + test 2), 2026-08-01.
Answers verified (numerics recomputed). This is the source of truth for mcq_bank.html.
Format: Q# | topic | correct-letter | stem -> answer text | note

============================== TEST 1 (Q1-60) ==============================
1  | data-rep    | c | BCD stands for -> Binary Coded Decimal
2  | signed      | b | range of 10-bit UNSIGNED -> 0 to 1023 (0 to 2^n-1)
3  | signed      | b | 1's complement 11100011 -> -28 (invert->00011100=28, neg)
4  | org         | c | control unit does -> coordinates execution via control signals
5  | float       | b | reduce overflow/underflow -> use double precision (more bits)
6  | signed      | c | one's complement TRUE -> has positive AND negative zero
7  | float       | a | accurate decimal calc depends on -> floating-point representation
8  | numbers     | b | 255 in base 16 -> FF
9  | float       | c | IEEE double range -> 10^±308
10 | data-rep    | a | Excess-3 self-complementing because -> its 1's comp = 9's comp of digit
11 | numbers     | b | hex preferred because -> groups bits in fours (1 hex = 4 bits)
12 | data-rep    | b | Unicode introduced to -> support multiple world languages
13 | data-rep    | c | logo enlarged to billboard w/o quality loss -> Vector
14 | numbers     | c | hex shifted right 1 bit = -> division by 2
15 | float       | a | IEEE double uses -> 64 bits
16 | archorg     | c | organization analogy (arch=blueprint) -> the construction process
17 | data-rep    | d | 8421 BCD of 59 -> 01011001 (5=0101,9=1001)
18 | image       | c | monochrome bitmap pixel -> 1 bit
19 | float       | d | float stored as -> Sign, Mantissa, Exponent [exam's answer; TRUE IEEE field order is Sign,Exponent,Mantissa - teach that]
20 | signed      | b | one's complement additive inverse -> flip all bits
21 | signed      | d | 8-bit sign-magnitude -0 -> 10000000
22 | isa         | c | compiler efficient mem-access -> addressing modes
23 | float       | d | float advantage -> represent very large AND very small values
24 | archorg     | a | NOT an architecture component -> memory technology used
25 | memory      | d | vars in registers vs RAM -> faster execution speed
26 | signed      | b | 8-bit UNSIGNED 11111111 -> 255
27 | numbers     | d | 20-bit binary -> 5 hex digits (20/4)
28 | numbers     | b | hex 7D3A to decimal -> 32058 (28672+3328+48+10)
29 | float       | a | weather sim accuracy -> floating-point representation
30 | numbers     | d | 111010111011b to hex -> EBB (1110 1011 1011) [option d "EBB and EBB16 equivalent"]
31 | image       | d | photographs best represented -> Bitmap graphics
32 | signed      | c | 8-bit 2's comp 10000000 -> -128
33 | archorg     | d | cloud cache levels -> Memory organization
34 | archorg     | a | same x86, desktop faster -> Organizational differences
35 | archorg     | b | larger cache/faster RAM, same x86 -> Organization only
36 | data-rep    | d | code to simplify decimal arithmetic -> Excess-3
37 | archvn      | d | fetch instr + read data simultaneously -> Harvard Architecture
38 | addr        | a | constant embedded in instruction -> Immediate Addressing
39 | isa         | d | visible to programmer -> Instruction formats
40 | org         | d | bus carrying memory/IO location info -> Address Bus
41 | archorg     | d | arch+org studied together because -> arch=capabilities, org=efficiency/performance
42 | data-rep    | c | Excess-3 of decimal 9 -> 1100 (9+3=12)
43 | numbers     | a | hex 2A7F to binary -> 0010101001111111
44 | archvn      | d | separate instr/data memory modules -> Harvard Architecture
45 | signed      | a | zeros in sign-magnitude -> 2 (+0 and -0)
46 | archvn      | c | Harvard advantage -> simultaneous access to instructions and data
47 | signed      | d | 2's complement of 00101100 -> 11010100 (invert 11010011 +1)
48 | org         | a | robot coordinates sensor/actuator -> Control Unit
49 | signed      | a | overflow occurs when -> result exceeds representable range
50 | isa         | d | processor supports float instrs? relates to -> computer architecture (ISA)
51 | float       | b | IEEE single range -> 10^±38
52 | org         | d | faster bus system -> Computer Organization
53 | signed      | c | needs end-around carry -> One's Complement
54 | float       | a | IEEE single exponent bits -> 8
55 | signed      | d | 8-bit sign-mag 10101010 -> -42 (neg, 0101010=42)
56 | signed      | d | 2's complement widely used because -> faster/simpler hardware
57 | data-rep    | a | Excess-3 code is -> Non-weighted
58 | float       | d | IEEE double bias -> 1023
59 | data-rep    | d | Excess-3 code 0110 -> decimal 3 (6-3)
60 | signed      | b | sign-magnitude disadvantage -> slow/complex arithmetic circuitry

============================== TEST 2 (Q1-60) ==============================
1  | memory   | b | ROM correct -> stores firmware permanently
2  | pipeline | b | speculative exec/branch prediction -> reduce control-hazard stalls
3  | memory   | a | cache uses SRAM because -> faster, no refresh
4  | perf     | b | performance not just clock freq -> also CPI, ILP, cache, branch, latency
5  | isa      | a | vars in registers benefits -> register-register arithmetic
6  | isa      | c | ISA vs microarch -> ISA = programmer-visible interface
7  | memory   | d | reduce avg instr time w/o clock -> increase cache hit rate
8  | addr     | c | register indirect R1=2000,M[2000]=500 -> operand 500
9  | addr     | d | PC-relative 500+30 -> 530
10 | isa      | b | after compare -> Conditional Branch
11 | perf     | b | 12e9 instr, 4GHz, CPI 1.5 -> 4.5 s ((12e9*1.5)/4e9)
12 | memory   | b | fastest->slowest -> Registers,Cache,Main Memory,Secondary
13 | isa      | b | move data reg<->memory -> Data transfer instructions
14 | isa      | b | accesses main memory -> LOAD
15 | memory   | a | memory-volatility match -> Flash = Non-volatile
16 | isa      | d | SIMD introduced to -> accelerate data-parallel computations
17 | instr    | a | instruction format defines -> layout of bits within an instruction
18 | instr    | b | opcode field specifies -> operation to perform
19 | addr     | a | fewest memory accesses mode -> Immediate
20 | instr    | b | more opcodes, same length -> increase opcode bits, reduce operand bits
21 | memory   | c | memory hierarchy -> higher levels faster/smaller/costlier per bit
22 | isa      | a | same app on 2 makers' CPUs -> same Instruction Set Architecture
23 | risc     | a | variable-length instructions -> CISC
24 | instr    | b | fewer memory accesses format -> Three-address
25 | memory   | b | registers not bigger than cache because -> for most immediate operations only
26 | archorg  | a | Processor X(fast,power) vs Y(efficient) -> Y superior (cost/power/thermal/scalability, not peak speed)
27 | archorg  | d | custom AI matrix processor -> domain-specific architectures improve efficiency
28 | memory   | b | real-time control critical -> predictable low access time
29 | memory   | b | secondary storage unsuitable for exec -> higher access latency than primary
30 | instr    | d | stack machine operands -> at top of the stack
31 | archorg  | d | architecture vs engineering -> arch=conceptual/operational design; eng=broader HW design/impl/integration
32 | memory   | d | memory hierarchy trade-off -> faster=smaller/costlier per bit, slower=larger/cheaper
33 | isa      | b | changes program sequence -> Control Transfer
34 | memory   | a | SRAM vs DRAM -> SRAM flip-flops, DRAM capacitors
35 | addr     | b | indexed EA, R2=300,disp=20 -> 320 (20+300)
36 | risc     | b | minimize area/power, rely on compiler -> RISC philosophy
37 | addr     | b | indirect: addr700,M[700]=1500,M[1500]=60 -> operand 60
38 | archorg  | d | same ISA, diff exec time -> clock/cache/exec-units/pipeline vary
39 | instr    | a | fixed-length 32-bit advantage -> faster instruction decoding
40 | isa      | a | NOT defined by ISA -> internal ALU implementation
41 | addr     | c | operand within instruction -> Immediate
42 | risc     | d | instructions resemble HLL constructs -> CISC
43 | perf     | b | X fewer instr but Y faster (pipelining) -> microarchitecture affects performance
44 | instr    | b | opcode 8 + reg 6 + addr 18 -> 32 bits
45 | memory   | b | more cache always eliminates bottleneck? -> incorrect, cache can't eliminate all delays
46 | archorg  | d | abstraction role -> separate concerns across layers, HW/SW work independently
47 | addr     | d | base-register EA, base 4000, disp 120 -> 4120
48 | memory   | c | waiting for data despite cache -> memory wall
49 | org      | a | stores address currently accessed -> Memory Address Register (MAR)
50 | memory   | b | repeatedly accesses same instruction -> Temporal locality
51 | memory   | d | higher density, lower speed than SRAM -> DRAM
52 | memory   | b | highest cost per bit -> Registers
53 | addr     | d | linked lists efficiency -> Indirect addressing
54 | archorg  | b | backward compatibility -> stable ISA, evolving organization/microarch
55 | isa      | a | arith/logic/branch/load-store/IO collectively -> Instruction set
56 | memory   | d | virtual memory -> address space larger than physical memory
57 | memory   | b | how much can be stored -> Capacity
58 | memory   | c | access 60ns, cycle 90ns -> consecutive accesses >= 90ns apart
59 | memory   | d | accesses neighboring locations -> Spatial locality
60 | instr    | b | stack-based format -> Zero-address

TOPIC TALLY (both tests): data-rep/codes ~11, signed/complement ~13, float/IEEE ~9,
numbers/conversions ~7, arch-vs-org ~11, ISA/microarch ~13, addressing ~9,
instruction-format/types ~10, memory-hierarchy/types ~20, perf/CPI ~4, pipeline ~2,
RISC/CISC ~4, Von-Neumann/Harvard ~3, image ~2, org-components(CU/bus/MAR) ~5.
=> The objective test is HEAVILY conceptual: arch-vs-org, ISA-vs-microarch, memory
hierarchy, data representation. Numeric MCQs are conversions, 2's-comp, EA, CPI, length.
